Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_22_563.jpg,0,0,1,0,99.66999,85.58899,0.0002346572,46.87811,9.214779E-07
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_22_605.jpg,0,0,0,0,99.66999,85.58899,0.000234618,46.87811,1.020728E-06
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_22_655.jpg,0,0,0,0,99.66999,85.58899,0.0002346964,46.87811,8.222209E-07
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_22_705.jpg,0,0,0,0,99.66999,85.58899,0.0002346768,46.87811,8.718494E-07
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_22_755.jpg,0,0,0,0,99.66999,85.58899,0.000234558,46.87811,8.822584E-07
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_22_805.jpg,0,0,0,0,99.66999,85.58899,0.0002347761,46.87811,9.110688E-07
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_22_855.jpg,0,0,0,0,99.66999,85.58899,0.0002344991,46.87811,1.031137E-06
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_22_903.jpg,0,0,0,0,99.66999,85.58899,0.000234558,46.87811,8.822584E-07
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_22_958.jpg,0,0,0,0,99.66999,85.58899,0.0002347173,46.87811,1.059948E-06
/home/trim/CODE/Udacity/Robotics/RoboND-Python-StarterKit/RoboND-Rover-Project/run_two/IMG/robocam_2017_05_27_16_25_23_007.jpg,0,0,0,0,99.66999,85.58899,0.0002346976,46.87811,1.109576E-06
